VALUE,OvenDryLoad,SAV,Packingratio,Mx,R,G,B,RED,GREEN,BLUE,FBFM40,FuelBedDepth
91,0,0,0,0,104,104,104,0.407843,0.407843,0.407843,NB1,0
92,0,0,0,0,225,225,225,0.882353,0.882353,0.882353,NB2,0
93,0,0,0,0,255,237,237,1,0.929412,0.929412,NB3,0
98,0,0,0,0,0,14,214,0,0.054902,0.839216,NB8,0
99,0,0,0,0,77,110,112,0.301961,0.431373,0.439216,NB9,0
101,0.4,2054,0.00143,15,255,235,190,1,0.921569,0.745098,GR1,.4
102,1.1,1820,0.00158,15,255,211,115,1,0.827451,0.45098,GR2,1
103,2,1290,0.00143,30,255,236,139,1,0.92549,0.545098,GR3,2
104,2.15,1826,0.00154,15,255,255,115,1,1,0.45098,GR4,2
105,2.9,1631,0.00277,40,245,222,41,0.960784,0.870588,0.160784,GR5,1.5
106,3.5,2006,0.00335,40,230,230,64,0.901961,0.901961,0.25098,GR6,1.5
107,6.4,1834,0.00306,15,205,198,115,0.803922,0.776471,0.45098,GR7,3
108,8.8,1302,0.00316,30,139,134,78,0.545098,0.52549,0.305882,GR8,4
109,11,1612,0.00316,40,168,112,0,0.658824,0.439216,0,GR9,5
121,1.35,1832,0.00215,15,255,170,0,1,0.666667,0,GS1,.9
122,2.6,1827,0.00249,15,255,167,127,1,0.654902,0.498039,GS2,1.5
123,3,3,0.00259,40,255,99,0,1,0.388235,0,GS3,1.8
124,12.8,1674,0.00874,40,205,102,0,0.803922,0.4,0,GS4,2.1
141,2,1674,0.0028,15,215,194,158,0.843137,0.760784,0.619608,SH1,1
142,8.4,1672,0.001198,15,215,176,158,0.843137,0.690196,0.619608,SH2,1
143,9.7,1371,0.00577,40,205,137,102,0.803922,0.537255,0.4,SH3,2.4
144,4.8,1682,0.00227,30,137,90,68,0.537255,0.352941,0.266667,SH4,3
145,8.6,1252,0.00206,15,205,170,102,0.803922,0.666667,0.4,SH5,6
146,5.8,1144,0.00412,30,237,112,68,0.929412,0.439216,0.266667,SH6,2
147,14.4,1233,0.00344,15,205,125,57,0.803922,0.490196,0.223529,SH7,6
148,10.7,1386,0.00509,40,168,56,0,0.658824,0.219608,0,SH8,3
149,15.5,1378,0.00505,40,115,26,0,0.45098,0.101961,0,SH9,4.4
161,3.7,1606,0.00885,20,233,255,190,0.913725,1,0.745098,TU1,0.6
162,4.2,1767,0.00603,30,170,255,0,0.666667,1,0,TU2,1
163,3.3,1611,0.00359,30,180,215,158,0.705882,0.843137,0.619608,TU3,1.3
164,6.5,2216,0.01865,12,112,168,0,0.439216,0.658824,0,TU4,0.5
165,14,1224,0.02009,25,38,115,0,0.14902,0.45098,0,TU5,1
181,6.8,1716,0.04878,30,190,255,232,0.745098,1,0.909804,TL1,.2
182,5.9,1806,0.04232,25,0,255,197,0,1,0.772549,TL2,.2
183,5.5,1532,0.0263,20,190,210,255,0.745098,0.823529,1,TL3,.3
184,6.2,1568,0.02224,25,123,104,238,0.482353,0.407843,0.933333,TL4,.4
185,8.1,1713,0.01925,25,190,232,255,0.745098,0.909804,1,TL5,.6
186,4.8,1936,0.02296,25,0,197,255,0,0.772549,1,TL6,.3
187,9.8,1229,0.03515,25,0,132,168,0,0.517647,0.658824,TL7,.4
188,8.3,1770,0.03969,35,0,92,230,0,0.360784,0.901961,TL8,.3
189,14.1,1733,0.03372,35,77,110,145,0.301961,0.431373,0.568627,TL9,.6
201,15.5,1653,0.02224,25,232,190,255,0.909804,0.745098,1,SB1,1
202,12.8,1884,0.01829,25,197,0,255,0.772549,0,1,SB2,1
203,11.3,1935,0.01345,25,255,190,232,1,0.745098,0.909804,SB3,1.2
204,14,1907,0.00744,25,255,127,127,1,0.498039,0.498039,SB4,2.7
-9999,0,0,0,0,255,255,255,1,1,1,NoData,0
